Nama,IPS 1,IPS 2,IPS 3,IPS 4,Jenis Kelamin
Carmina Antrack,3.956682809,2.113072222,2.964069574,2.339463383,Female
Stella Elsley,3.433963584,2.881764295,3.776100704,1.501528547,Female
Ebba Mettericke,3.153075093,2.322248786,1.053776768,3.180016804,Female
Park Garnsey,2.357145441,1.596453921,1.624900313,1.301418792,Male
Hannis Siuda,1.79377699,1.297405484,3.138899032,2.071433029,Female
Chelsie Bambury,1.875947458,2.586944889,3.740923347,1.787967233,Female
Fulvia Picard,3.829791331,3.732010772,2.451778193,1.672270478,Female
Dael Wilder,2.532689308,3.023668833,2.50886243,2.707520488,Male
Garwood Pindred,2.995474067,3.046385605,3.571301117,2.264229759,Male
Lorraine Thurstan,2.086643752,1.305318883,1.306541832,1.076269519,Female
Halsy Bowne,2.448073313,1.454885252,3.457358436,3.377621306,Male
Katrina Chattock,2.580552919,3.993992258,1.771701714,3.893577458,Female
Jessika Rosendorf,2.742177132,3.069958277,2.831288194,1.175811967,Female
Carlee Slafford,3.722287963,2.403697586,1.619652721,2.243047706,Female
Regen De Biasio,3.900544247,3.603762582,1.996827961,3.799189556,Male
Domeniga Pardi,1.190237739,1.341523704,2.358306675,3.935343047,Female
Suellen Molfino,3.750269339,2.475085269,1.48967673,1.826353469,Female
Garnet Flaherty,2.472245278,3.696723104,2.463169997,2.283781778,Female
Brenden McElvogue,3.452009304,3.800637044,3.159616303,2.477217692,Male
Lark Schwanden,2.20810558,3.588914541,1.971685851,1.727396863,Female
Kelbee Luetkemeyers,1.061377337,1.131193908,1.894909796,2.099655105,Male
Alex Pellew,1.239385245,1.883505104,1.41803365,3.526260004,Female
Jocelyn Curwood,3.777447674,3.191653316,1.107231793,2.840808392,Female
Westley Halbord,3.794088054,3.360226582,3.635700196,2.533676974,Male
Othilia Sainsberry,1.726714931,3.638598313,2.289016814,2.130721684,Female
Dennet Knightsbridge,2.381148389,3.883039787,3.917895289,3.300011325,Male
Van Broyd,3.744622811,3.094481184,3.910218571,3.935154171,Male
Mendie Shewon,1.776539004,1.962956592,3.353743664,2.010222288,Male
Shepard Barritt,2.444026612,2.479337853,1.27934151,1.226221602,Male
Misty Mingauld,2.706815642,2.241350806,1.999396004,3.236758245,Female
Karola Ruxton,3.906701109,1.067143512,3.388065869,2.758062404,Female
Kira Popov,1.807988982,3.387035578,1.673512979,2.934376023,Female
Dino Huttley,3.134815988,1.901218465,1.108484307,2.891925514,Male
Gerek Attlee,1.820820397,2.232996503,3.678233828,1.832270851,Male
Marmaduke Wardrop,2.690207649,3.504847222,1.947065439,3.496791713,Male
Shelia Font,3.896100584,3.082637092,3.641874486,3.464797764,Female
Levon Cocke,1.50752792,1.209067408,1.751978135,1.283989581,Male
Augusto Boor,2.176347372,1.835228347,3.95448373,3.259787453,Male
Emily Agent,1.657911166,1.343133957,3.051930525,3.737885359,Female
Montgomery Jeandin,1.351536491,3.807637558,1.45371398,3.264286237,Male
Martelle Dungey,1.357761984,2.020164878,2.360023931,3.209788317,Female
Gaultiero Lowre,3.603806718,1.280805444,1.14968434,3.347345819,Male
Alf Ely,2.628174893,3.190478376,2.288192123,2.24085736,Male
Edik Bridie,3.556253669,1.492582875,3.956797658,2.772183207,Male
Denise McCromley,3.318251384,3.444889941,2.968190899,1.187556543,Female
Nonna Edes,3.19944203,2.576606191,3.906427185,1.615294808,Female
Pernell Gribbin,3.573200728,3.421589324,3.845461163,1.022797576,Male
Tome Tommeo,1.165315878,1.282727233,1.978162782,1.434317839,Male
Delcina Nother,1.510579867,3.111904674,2.364705221,1.316367397,Female
Melicent Standage,3.914617303,3.10699431,3.554036254,2.160429209,Female
Alla Fouldes,1.444592458,3.046219832,2.867414608,3.239446873,Female
Trudey Hearle,2.516630299,2.979734559,3.314323489,1.288298352,Female
Ware Mallabone,2.306880574,1.741678511,2.613665573,1.674202059,Male
Geno Lorrie,1.967299603,3.044495317,1.093704927,1.988157183,Male
Darwin Cluff,2.397607668,3.325144788,2.818614114,2.668109315,Male
Clemens Ashard,3.950863949,1.276077068,3.092932788,3.777590497,Male
Tonnie MattiCCI,3.901851166,3.643502898,3.658886905,2.83467872,Male
Clayborn Hulatt,3.472474943,1.720194866,1.783359603,1.746412575,Male
Dennie Ives,1.861015854,3.162203192,2.782934069,3.161823573,Female
Alano Livingstone,1.249968831,1.159509773,1.403069988,2.974191172,Male
Arv Messager,1.485103635,1.813150118,3.537750486,1.800821099,Male
Ethan Slocomb,1.32350583,1.804004431,3.563616174,2.087633397,Male
Glory Monard,1.158483481,2.536171662,3.297947431,2.734679086,Female
Daffy Mitie,1.763460699,1.23502773,1.614693713,3.169324266,Female
Martainn Battie,1.847826347,2.256697173,3.620674134,3.558591994,Male
Albrecht Pyle,1.285026014,1.297959511,1.231230705,1.366451698,Male
Cristine Buckenhill,2.834390654,1.68371749,1.050508805,1.455719513,Female
Albrecht Kibbee,2.282291763,2.870223474,3.182128623,1.864078428,Male
Annmarie Westmacott,1.027036069,3.230651174,3.144912977,1.367036569,Female
Harmony Blanchflower,2.346534672,1.357283995,3.361236154,3.503394488,Female
Randene Barrington,1.305324856,3.899054029,1.906805316,3.385052745,Female
Elnar Morfell,1.160544506,3.84646488,3.724934723,2.227520818,Male
Gretchen Fend,2.584899065,1.33407273,3.877940351,1.390899739,Female
Chaunce Dahlgren,1.949507343,1.066927169,3.820247308,3.948074336,Male
Tiler Haye,1.276693539,3.092356657,3.829989527,3.554060923,Male
Tobias Congreave,2.01532235,3.725927747,1.390103292,1.404675142,Male
Manfred Ruppel,1.928810655,2.473219372,3.000635985,2.006479546,Male
Norbie Rummer,2.29309778,1.736363875,2.607445912,3.250470646,Male
Winona Moakler,2.19401099,3.05597802,1.884121558,3.40097177,Female
Rafi Agott,3.206694521,1.4723368,1.923054077,3.3872855,Male
Corry Loughrey,3.634215302,1.193586271,2.98613328,2.714399272,Female
Terri Trengove,3.209604732,2.72373676,2.637153846,2.849623193,Male
Rasia Strickett,3.474767341,1.246777381,2.205330952,3.892997058,Female
Cynde Grosvenor,2.579609187,3.831534281,3.35139686,2.588281078,Female
Melodee Dumphries,1.115181176,3.111252399,1.675141805,3.627024284,Female
Patten Souza,2.269441945,2.782873547,2.772402728,3.989364813,Male
Jewelle Botwood,3.655353987,2.898210122,2.711007158,3.550099142,Female
Ulrich Buxam,3.916177172,2.511599891,3.263814212,2.332932383,Male
Rowan Marryatt,3.082214559,3.578629717,3.982445118,3.908023668,Male
Cathleen Molen,1.749297069,2.007219362,1.976077358,2.404426192,Female
Beau Angrove,1.14486766,3.797942981,3.155801816,2.054994313,Male
Melvyn Maseres,2.155545635,3.965620736,1.387543645,1.284945567,Male
Mayer Lenton,2.058769771,2.201672138,3.140063256,1.254809102,Male
Philomena Ponten,3.738250936,1.297227844,3.68602355,1.198564978,Female
Billye Tourot,1.641427341,2.433914922,2.154998035,2.326845293,Female
Dahlia Cicullo,1.201217617,1.377029351,3.344635348,2.30230032,Female
Marsh Crudgington,1.580068169,2.048563201,2.461265008,3.391920739,Male
Pavlov Megson,2.033341333,3.493197859,3.157459738,2.786268605,Male
Bee Beggs,3.305305962,3.108211628,2.811805399,3.036754739,Female
Eimile Brokenshaw,1.42948591,2.560938091,3.17525136,3.143261589,Female
Roanna Antczak,1.591558561,3.767802928,3.739775477,1.709684245,Female
Bertha Cominetti,2.924790604,3.900313097,2.78585949,1.061997506,Female
Carolynn Gare,2.636274615,2.949183233,2.193903136,1.364034862,Female
Ofilia Vedenyakin,2.996586715,1.841476171,2.208954879,3.500585535,Female
Bobbie Gabitis,2.233563639,3.8626123,3.325259988,3.565241094,Male
Riane Panter,2.48345243,3.646786753,3.576100744,3.336526147,Female
Gayler Strutley,2.954988808,2.41007654,2.973807189,2.870440721,Male
Arnie Keppie,1.923813965,2.121910608,2.286212535,2.90575526,Male
Care Riggoll,3.325461516,1.195434799,3.49137547,3.435033346,Male
Fleurette Dumbelton,1.685115027,2.392772577,2.386723041,2.942736616,Female
Eb Smillie,2.233324225,3.296919627,2.920302961,2.172713042,Male
Kellby Lethebridge,3.009350795,2.395516344,1.822656194,2.973692314,Male
Addi Scawen,1.74176315,2.636226632,1.902355055,1.609965044,Female
Salomone McLaine,3.469259902,3.890620283,3.81932243,3.9460668,Male
Merrill Fielden,2.799299868,2.775160733,2.039298643,3.335910492,Male
Justus MacMechan,3.614639251,1.3091424,2.030554938,3.307849452,Male
Pepita MacCleay,2.883719725,3.906471132,2.607740551,2.900367607,Female
Ricardo De Vaux,2.278772273,2.359936458,2.12119888,3.080276986,Male
Joan Yanshin,1.63831201,1.1910384,3.29291383,2.061903527,Female
Westbrooke Henfre,3.373801838,2.942759653,2.270794516,1.69126062,Male
Jonie Cauthra,2.883364585,1.032914405,2.032016338,2.424411965,Female
Rona Hartus,1.698275537,1.292119921,1.450478166,1.30143239,Female
Adeline Dollard,2.914858853,1.357192607,3.951054314,1.777005819,Female
Hobie O'Sullivan,3.279670164,3.81457507,3.69244865,3.361186648,Male
Clemente Hickenbottom,2.133646766,3.353477972,2.351212187,2.7422156,Male
Lorain Archibould,3.712638451,3.341875181,3.838572251,2.625049995,Female
Matteo Slidders,3.564589629,1.533152572,2.701065059,1.700960041,Male
Esra Eddison,2.738232945,1.998439508,3.598209665,3.14301482,Male
Tirrell Danelut,3.99542259,2.799578841,1.376777367,2.182308922,Male
Celia Richichi,2.229228667,3.271242986,2.325078486,1.953961239,Female
Jeana Pollitt,2.801804284,1.742386878,1.160607947,1.54032885,Female
Buckie Sevior,3.810397314,1.305095069,1.925819688,2.171894871,Male
Shelli MacGraith,1.233240294,1.778466865,1.490112701,2.058968579,Female
Mendy Stenbridge,1.893448229,3.531875836,2.298866019,3.598245311,Male
Rod St. Ledger,1.308748013,2.672524401,2.208651292,2.875630239,Male
Lorie Arnoldi,1.63140875,3.697679235,3.871854548,2.529324347,Female
Bekki Castane,1.991062002,1.080990088,2.704238299,3.645496029,Female
Dewie Hritzko,3.544212367,1.237283263,1.472927414,3.692363105,Male
Bobby Eldridge,3.755747846,3.477913674,3.681611195,3.107569596,Male
Shel Solloway,3.981363041,1.519808318,3.080692676,3.695220093,Female
Nathan Avieson,2.833034177,2.270150614,1.551954749,3.606858348,Male
Aldous Diwell,1.449531926,1.263998243,1.704013585,2.214682856,Male
Edsel Capnor,2.854935807,1.491698705,2.294191811,3.352867071,Male
Tomkin Trosdall,1.715355084,1.633216808,2.453987217,3.863926407,Male
Murvyn Ferier,1.512023972,1.269664977,1.535771594,3.528753386,Male
Marquita Brooksby,3.687914695,3.280499401,2.826053302,3.647836149,Female
Roana Fantini,2.591586317,3.776332664,1.385739863,1.560667877,Female
Vallie Longrigg,1.787953806,2.685611203,1.87867947,3.220082838,Female
Alexandros Upstone,2.53892133,2.981199965,1.876836201,2.097154704,Male
Van McKue,2.539113145,2.487909056,1.509673618,3.230228,Female
Persis Inskipp,3.640887621,2.165813572,2.720656722,3.462699206,Female
Arabel Cabral,3.509794062,1.632361133,3.077405075,2.404500546,Female
Xever Secker,3.708534435,3.457757771,3.423809624,1.613320566,Male
Mac Vater,2.848336752,2.510303413,3.469842145,1.771237243,Male
Erny Kirkbride,3.833495358,1.33477607,3.98938521,2.274103441,Male
Schuyler Hullett,3.055722209,2.735883933,1.994093013,2.985154005,Male
Dana Ricoald,2.083283742,1.479561237,2.099944048,1.691957595,Female
Herta Mullenger,3.299786064,2.274512413,3.006281166,2.464416637,Female
Sylvan Cradey,1.051490203,2.317804808,3.630118502,1.736678425,Male
Hazel Brooksby,1.508794736,1.095699997,2.029700954,2.491078947,Female
Les Crosswaite,1.39457639,3.657330538,3.356484667,3.43961629,Male
Ivette Hammill,1.475921153,3.156213203,3.462830346,1.824909303,Female
Xenia Spillane,1.457344472,2.828246941,1.247222414,2.337225165,Female
Meghann Tummons,1.487171627,2.179827793,2.978902151,2.666289719,Female
Danny Kildahl,2.108206706,2.577057518,3.929006908,1.408869687,Male
Marcel Briatt,2.764361445,1.972877608,3.130470223,3.545306012,Male
Arnold Patey,3.541927316,3.4645351,3.431992956,2.606797028,Male
Garrek Bowdrey,3.350406013,3.118505696,3.053247575,1.029006081,Male
Victoir Brusby,3.205092075,1.243925799,1.857447107,2.762221734,Male
Nalani Arton,2.360369023,2.969709017,3.512989827,1.65440049,Female
Jamill Cainey,3.115832812,3.12631283,3.156492537,2.123622022,Male
Lucille Bunch,2.803119993,1.964273044,1.128152377,2.325712831,Female
Alaric Dureden,2.562560325,2.554935813,3.526599357,1.424970067,Male
Moss Gay,2.075068762,1.213930911,3.937753074,3.573084115,Male
Ealasaid Genney,2.140342285,3.349913537,1.242653961,3.611773225,Female
Rafaelita Wicklen,1.688012913,2.804958327,1.189302547,2.919054755,Female
Skipper Lancastle,1.0534658,1.765712465,2.779839917,2.731248309,Male
Emlen O' Bee,3.874528286,1.600255016,2.210890574,3.961588141,Male
Juana Landsman,1.144715669,2.257285873,2.708156463,3.257053142,Female
Lotty Bielby,3.94035973,2.132741604,3.866305713,2.032242791,Female
Helge Wheadon,1.61409623,1.090709497,1.771071087,3.911266059,Female
Ian Degnen,1.911582912,3.784641402,2.874650874,3.978253947,Male
Penn Ashbee,3.582108831,2.571096857,2.167276612,2.053643058,Male
Chaunce Billin,2.466831459,3.119623019,2.676396362,2.280575818,Male
Darryl Cannavan,1.573966337,2.403602228,1.740991402,2.795290637,Female
Cleopatra Espin,1.34573177,1.579755674,2.110292599,3.526588848,Female
Idette Ison,2.836307783,3.383476831,3.883581162,3.784549681,Female
Lanae Giscken,1.803015246,3.153181923,2.228792334,1.205463776,Female
Cody Massard,2.951955087,1.936881089,1.476174269,2.35186054,Female
Rollin Ravenhill,1.149554098,1.168266925,1.99131327,1.590751138,Male
Sibylla Dilkes,2.306966188,2.591399056,3.423111304,2.078342369,Female
Waneta Swiggs,3.682736778,2.442610337,3.469855202,2.392344223,Female
Cart Topliss,2.911714997,1.665930334,2.629434354,2.184138668,Male
Catlaina Pyecroft,1.460764713,2.296996926,1.400993573,1.89716429,Female
Aaren Maseyk,3.117850217,1.742379057,3.924650125,3.872458305,Female
Hulda Tims,3.235017729,2.903581336,1.831249017,2.781665938,Female
Nikki O' Lone,2.277041717,1.894815686,2.046552379,2.22170458,Female
Enid Sawbridge,3.432131221,2.606096333,2.093647932,3.856688091,Female
Minnie Cumberledge,2.1077394,2.797132262,3.205547094,1.383486755,Female
Heinrick Mishow,2.407278554,1.813083007,1.311391885,1.394340913,Male
Alina Van den Dael,3.189717859,2.322652023,3.054442015,1.491686461,Female
Danila Geaves,2.438358286,2.198911414,2.13800852,2.784920407,Female
Domeniga Moogan,3.482098298,3.66015684,1.195784297,3.139245143,Female
Linnea Cawte,2.879691538,2.844899921,3.035518443,3.097412957,Female
Franchot Wims,3.072798558,1.021136489,3.10029636,3.328637583,Male
Armstrong Macenzy,3.202421151,2.706847199,2.156545089,3.672497418,Male
Shelby Bansal,1.558475529,3.532582396,2.736808407,1.779439468,Male
Benjamen Kunrad,3.515916693,1.154052851,2.500860092,1.940606363,Male
Horst Ellum,2.328357626,2.520422172,2.639705348,2.787998479,Male
Bartlett Spurrior,1.263978558,2.019579202,1.37229248,1.205973566,Male
Dwayne Novis,2.469921484,1.259535104,1.908250825,3.80207502,Male
Alexandre Shaylor,3.914489024,2.916594856,1.00968434,1.956735011,Male
Tucky Elnor,1.732276509,2.702186955,1.565010612,3.086920738,Male
Anne-corinne Shambrook,1.397053112,2.273163304,1.004707747,2.597346878,Female
Rik Ashworth,3.43229393,2.076782352,1.13259368,3.409326255,Male
Bradney Grandham,3.372030901,3.559728949,3.576029979,2.068289173,Male
Erick Pedrielli,3.806752087,3.260653427,3.309509071,1.113081304,Male
Deni Danielovitch,2.16026836,1.751837663,3.360673833,3.168801787,Female
Lennard Wooland,3.530629906,2.877960193,1.504460334,1.285447517,Male
Markos Garnham,2.82327597,1.075500096,1.040081689,3.159729245,Male
Dianna Cops,2.310709404,1.805253894,2.691876827,3.633710522,Female
Gaston Ibbotson,1.53239764,2.99668703,2.395595815,1.930696941,Male
Forester Palfree,2.08646146,3.138909863,3.514956715,1.138497589,Male
Hannis Laister,1.632595165,1.441982118,3.557904964,2.948402474,Female
Gerladina Lutton,1.682488997,3.029256086,2.264827924,1.945655672,Female
Richart Kingswell,2.272237048,3.766481746,3.531929648,1.604111633,Male
Georges Ashforth,2.418662753,1.671674075,2.200455626,2.679367473,Male
Garrik Devitt,1.771266416,2.094186596,3.719356399,3.11070591,Male
Richmond Kencott,3.634581462,1.422841616,1.843785512,2.122598403,Male
Augustine Johananoff,3.048195728,3.724276267,2.36841812,1.29175661,Male
Edy Kilius,3.587298874,2.67906281,1.643116414,2.994635613,Female
Minne Dilleston,1.653975928,2.801172703,1.28489074,2.779699143,Female
Sena Lofting,3.691901341,3.152624365,3.855122531,3.693867517,Female
Ernestine Matterdace,1.697435797,1.196327839,1.911887936,3.077301216,Female
Tommie Assender,3.075704441,3.893009608,1.351750022,2.675301796,Male
Alexio Gotfrey,3.119871503,2.505999259,2.526935881,1.305660372,Male
Augusto Toulch,1.866567105,3.797044542,3.836223119,3.194306781,Male
Rosina Pittson,2.681570796,3.288410978,1.846674174,1.746772951,Female
Gert Hercules,3.659969572,3.945441763,1.188353321,3.349829365,Female
Demetrius Hazelgreave,3.838151484,3.851445457,3.135224717,2.159830467,Male
Mariana Ziebart,2.248924409,2.608760253,2.961725343,3.525609653,Female
Pammi Leonardi,3.394687662,2.498709484,2.318709261,1.325145812,Female
Rea Aarons,3.160861716,2.599532399,3.136207274,1.785858347,Female
Traver Haney`,3.845803174,1.892873062,2.338588793,1.99152523,Male
Norah Cobbold,2.079145149,2.229660706,3.464547885,1.570037412,Female
Edyth Caser,1.977973267,1.306164872,1.689103941,1.631046847,Female
Stanford Statefield,2.514019589,3.837165597,3.924663313,1.087199459,Male
Silvanus Rispin,3.144144924,3.739303863,2.397245449,1.873942438,Male
Mariann Tasker,3.460857352,2.305264344,1.631237055,1.538657302,Female
Maitilde Boleyn,3.115490045,1.089795198,1.187821382,2.317768372,Female
Ines Tither,3.115268918,3.728573653,2.698679321,2.896672126,Female
Foss MacRannell,2.223135077,2.946513915,2.578187018,2.384098123,Male
Mac Crinage,3.576579965,1.689798704,1.854466226,3.993403196,Male
Eugen Chappelow,2.779783591,3.887497424,1.930206477,1.498890935,Male
Elwyn Deakin,1.726862561,3.056811652,3.552394292,3.200469229,Male
Jermaine Strang,1.144503892,3.977409554,3.441042218,1.441147683,Female
Erma Bea,3.515299186,3.136487943,2.080425406,1.299067354,Female
Basia Mulkerrins,1.210666864,2.327062382,1.625302669,1.153775473,Female
Mathew Gallichiccio,3.89994809,2.626887445,3.72143206,2.28037325,Male
Didi Hearsey,1.954167347,3.449866332,2.581868667,2.961593191,Female
Althea McMoyer,2.022627597,1.852820084,1.361344208,1.729696859,Female
Joycelin Chevin,2.14042269,3.953193876,1.096074834,2.812844735,Female
Bamby Vicioso,1.832985942,3.1879977,2.138793765,3.130251515,Female
Chico Fessier,1.98903969,3.451226858,3.561000579,1.251251291,Male
Korella Govey,1.496066651,1.840546592,3.626887834,3.475079431,Female
Marietta Kastel,1.067057726,1.292316541,1.364403757,1.47861253,Male
Emmie Bradder,2.35592468,3.318918303,1.638703477,3.073495145,Female
Vivian Porteous,3.224655863,2.232900609,1.671314985,3.382851901,Female
Benton Trundle,3.614939915,2.191955219,1.974673665,3.292426297,Male
Win Leamon,2.067150267,2.195285653,2.946962698,1.756467366,Male
Bald Castiglioni,2.163792068,2.530006616,1.17923118,3.975913748,Male
Randee Ewbanck,2.133512578,1.663759209,1.415125878,3.519481896,Female
Carson Farish,2.92729408,2.210165059,3.749782695,2.908370107,Male
Dredi Owain,1.008720007,2.651872089,2.535175577,3.182498923,Female
Lee Keelin,2.422494011,2.671291332,1.158365968,3.105102562,Male
Dulcie Hanburry,2.016261533,1.299132135,1.302994083,3.715761038,Female
Mickie Shevill,2.791481806,3.422208756,1.881138325,1.761088127,Male
Roddy Maraga,3.967212465,2.661796442,1.255525758,2.465597736,Male
Carlyle Bengle,2.594990491,3.8058744,2.147946952,2.531226908,Male
Michaela Greader,1.047127198,1.384161249,3.646475619,1.1362406,Female
Filia Condell,1.456726461,1.907276762,1.115621152,1.275086025,Female
Cornela Vanacci,1.594660772,2.827789569,1.193765661,1.808657622,Female
Bartholomew Gummow,3.604881475,3.187411111,1.825239124,1.482269813,Male
Lew Maceur,1.611196208,3.263456224,3.550598166,2.91098652,Male
Lexine Narbett,3.203198726,3.798750303,1.016096993,1.846230615,Female
Tamqrah Duddle,2.732171844,2.635137365,1.62318061,2.787678896,Female
Nelly Tungay,3.997889261,3.680875686,1.717663855,3.735323418,Female
Zahara Gullane,3.724005258,2.849228229,3.282795271,1.645062809,Female
Molli Travers,3.90983671,1.452286392,3.619940497,2.747936981,Female
Guthrey Ovid,2.324953072,2.079660426,3.506708362,2.977721622,Male
Greggory Docharty,3.24615155,1.667231053,1.208465712,1.727684747,Male
Tuesday Sellack,1.763646881,1.302901456,2.243180136,2.004158334,Female
Iorgos Ram,1.853392649,2.118442818,3.205488386,2.406774613,Male
Way Guild,2.999382367,2.967321572,2.069216963,1.660039666,Male
Ashleigh Werrett,2.646875193,1.20496852,1.217622517,2.753755473,Female
Timothy Scotchford,2.089968229,3.908950917,3.424562002,2.975227482,Male
Klarrisa Greeno,3.041684188,1.838350959,3.138450288,3.698933665,Female
Durante Martinuzzi,3.634878534,2.493865159,2.558955644,1.048448408,Male
Glori Ruby,1.127480283,1.392756533,1.578817451,3.625884491,Female
Mallorie Rodrigo,3.603677485,1.558794443,1.237215828,3.801467867,Female
Shaughn Reck,3.017346979,2.262597444,3.737770529,3.304114352,Male
Juieta Treslove,3.746881198,3.819776151,2.977464115,3.875049984,Female
Jarred Westfield,3.657293893,1.779688935,1.934790311,3.913495514,Male
Willem Lipsett,3.47292208,3.153556425,2.579980026,1.213084953,Male
Russell Naden,1.26167064,1.495473918,1.483071788,1.991960354,Male
Saundra Buchanan,2.621483172,3.223879388,3.862090853,3.983717234,Male
Floria Fawkes,1.332948229,3.07499469,2.031583911,1.283178493,Female
Chilton Shorter,3.09943802,2.198905395,2.344235941,2.621486549,Male
Lonnie Marcussen,1.63045244,3.338876312,1.066599819,3.703968486,Female
Kasper Clifford,2.471078424,1.22793421,2.387558948,3.715806091,Male
Sam Beebee,1.983351709,3.773928005,3.914742031,3.737516252,Male
Christoph McCreagh,1.117670825,2.932471368,2.751903278,2.373929968,Male
Cad Beardsley,1.605504755,3.856647046,3.240136895,2.128603405,Male
Harman Slany,1.98822029,1.813798764,2.448235512,2.182070939,Male
Estrella Tethcote,3.486676396,1.160917423,2.85040328,1.950817915,Female
Ajay Flecknoe,3.298127636,2.738487763,2.772147254,1.595701485,Female
Zia Messingham,2.498464506,2.572310939,1.038413527,2.415347037,Female
Torrance Toffler,2.538326181,2.440206567,1.903723425,2.048498491,Male
Elly Pennacci,1.250260678,1.253904573,2.943256423,2.596703268,Female
Arne Jacqueme,3.179207595,3.770688835,2.109912052,2.037288578,Male
Will Pooke,3.021119359,2.354701895,1.378944227,2.694359876,Male
Ward Humphery,3.659136786,2.755706307,2.034943973,2.853176778,Male
Evin Petican,1.472887379,2.356833823,3.062760476,2.290607599,Male
Garek Inston,3.435422419,2.710897136,1.807605579,3.722798102,Male
Morten Wathan,1.421582736,3.491568464,2.863409077,2.822639686,Male
Agnese Leggis,3.068231139,3.928145398,2.442807624,1.963813285,Female
Cheslie Pert,1.105944377,3.862194124,1.542723092,3.15168502,Female
Jason Connick,1.154513603,2.935036664,3.633516596,2.857091436,Male
Gae Lubman,3.087864867,1.544740279,1.246854518,2.868553964,Female
Amos Tedahl,2.567068898,1.550655861,1.808524128,1.043327306,Male
Barbabas Mcwhinnie,2.220167816,3.878647594,3.796425196,2.969829174,Male
Thorpe Chetwind,1.209047472,2.642591069,2.029739001,1.260196719,Male
Meryl Hardinge,1.861401826,1.542591228,3.413435669,3.606231848,Female
Micky Capeling,2.93520363,1.805616825,1.170019748,3.733116998,Male
Lou Grinham,1.225464143,2.629064967,1.519451255,2.067030198,Male
Teresa Piller,1.334138313,2.160401901,1.025173203,2.746080379,Female
Melodie Tume,1.757348371,1.958976341,1.512842211,3.234050538,Female
Sheffy Hulett,2.742289162,2.405006582,2.37206584,3.527231519,Male
Syd Sessuns,3.689210334,2.315134482,3.671035533,1.564699677,Male
Sally Mosby,1.428000641,3.786450946,1.350930939,3.597467733,Female
Normy Kingerby,2.58958895,3.519944036,1.773283827,2.349652619,Male
Sonny Lightning,2.746563534,2.18416654,2.98059942,1.776330806,Male
Gregorio Rosenbloom,2.785811766,1.900052226,2.479299073,2.571931834,Male
Laurianne Sample,3.684120658,3.373957141,3.869064715,2.251911804,Female
Godard Walenta,2.59457394,3.141945362,2.834469309,2.42295951,Male
Wenonah Siggery,3.78299509,2.02174693,1.825067714,2.442398192,Female
Holly Fatharly,2.710593321,1.298498859,1.667643507,2.929666688,Male
Tessie Erie,1.562177875,3.788081817,2.420645122,3.230111598,Female
Connie Bahia,2.905226274,2.041936724,2.456846967,1.471492622,Male
Jereme Baxill,3.445087936,2.035429974,2.440112661,1.08615404,Male
Trula Kidgell,3.837550884,3.956951486,3.136860991,1.934045026,Female
Farrand Gagen,3.367779253,3.390239975,1.945237239,1.850709706,Female
Agneta Osboldstone,1.596668935,1.069256033,3.257190838,2.415624785,Female
Jodie Zylberdik,2.307704906,2.457152379,2.87478156,1.50236681,Male
Mozes McMurray,1.381095104,3.646126662,2.666088123,3.381020117,Male
Rhett Djurevic,3.213849799,1.995468542,2.764518749,1.706588508,Male
Frederica Gelland,2.527284386,3.481524531,2.181492658,2.602437191,Female
Ray McNeilly,2.22019304,2.940853281,1.49600235,3.594129733,Female
Bogart Bellocht,1.667704259,3.034938201,1.941128629,1.396638837,Male
Esdras Mengue,3.85784788,2.765155525,1.534689942,2.026368966,Male
Bartlett Sket,1.2075579,2.41618018,2.505866388,1.075040954,Male
Devlen Achromov,1.807276078,1.266161553,1.704824301,3.590317057,Male
Trace Roskams,1.361560818,3.384333943,3.752319762,3.710237284,Male
Adriane Doick,1.948126679,1.257768572,1.313534046,3.601862584,Female
Babs Bosche,1.345604411,3.811274247,2.43820588,1.912833178,Female
Zak Tuberfield,1.350055179,3.268504826,1.20224845,1.217290501,Male
Andra Rylstone,3.562227831,2.131115774,3.5247067,1.353892901,Female
Marcie Holcroft,3.018527004,3.289811736,2.660693765,3.382104347,Female
Kalila Lanktree,2.709945288,3.503865475,1.63178479,3.866920269,Female
Patten MacAlinden,1.289857207,1.45487177,1.288356427,3.319758185,Male
Wit Ramsdale,2.244451989,3.732344755,1.717147117,3.103756634,Male
Carlyn Jakoubec,2.64992391,2.051307592,3.589854114,1.204795728,Female
Inigo Letts,1.393003431,1.13491752,1.636847147,3.047661865,Male
Rafaellle Redd,3.378926017,1.496496368,3.728268281,3.293640776,Male
Stewart Burtonwood,2.359363303,3.669245249,1.918219299,3.902119725,Male
Jereme Tibbits,3.734862835,3.377310148,2.119098939,2.569403193,Male
Nappy Polet,1.695357262,3.003263135,1.970858391,3.626952631,Male
Tuesday Janauschek,3.82107059,3.767511751,1.206620732,2.835321644,Female
Roxane Maynard,1.521593973,1.505444478,1.376504586,3.631720673,Female
Ellissa Selly,3.284813998,2.04472005,2.367511159,3.040087399,Female
Jewel Roderigo,1.886995881,2.031392382,3.991948974,3.805461686,Female
Curtis Crawshaw,3.63042257,3.266187683,3.647556912,1.393790156,Male
Armin Licquorish,3.410629139,1.426124211,3.527902641,3.679085628,Male
Ralina Strick,3.099384805,2.507759002,1.12686727,1.77514235,Female
Merrile Royston,1.37469608,2.226271296,1.074649196,3.68503415,Female
